project_number,project_title,description,po_number,client,project_manager,price_type,total_value,balance_remaining,hours_remaining,billed_pct,hours_input,class_unit,site_location,start_date,end_date,status,last_updated,notes
EP-26001,PLC-5 to ControlLogix Migration,,PO-40520,Eli Lilly,R. Patel,T&E,218400,30576,381,86,517,Automation,Kokomo East,2026-05-03,2026-11-14,approved,2026-06-10,
EP-26002,SCADA System Upgrade,Upgrade plant-wide SCADA from Wonderware 2014 to AVEVA System Platform with redundant servers and historian integration.,PO-40106,Magna Drivetrain,S. Reyes,Fixed,720100,518472,1222,28,569,Service,Princeton Facility,2026-04-19,2026-09-26,approved,2026-04-10,
EP-26003,Robotic Weld Cell Install,,PO-47527,Cummins,M. Chen,Fixed,145950,33568,833,77,161,Automation,Greenfield Site,2026-03-26,2026-07-24,approved,2026-06-10,
EP-26004,Conveyor Retrofit Line 4,"Retrofit Line 4 conveyors with VFD-driven motors, new photo-eyes, and updated controls logic for variable speed zones.",PO-43814,Toyota Boshoku,T. Nguyen,T&E,761000,121760,155,84,325,Service,Kokomo East,2026-02-25,2026-09-03,approved,2026-05-10,
EP-26005,Palletizer Controls Rebuild,"Rebuild end-of-line palletizer control panel, replace obsolete drives, and reprogram for new case patterns.",PO-48751,Subaru Indiana,M. Chen,T&E,375600,67608,1106,82,1554,Automation,Princeton Facility,2026-01-20,2026-12-06,approved,2026-05-10,
EP-26006,Vision Inspection Station,Design and commission a Cognex-based vision inspection station for label verification at packaging line exit.,PO-45155,Cummins,T. Nguyen,T&E,881000,431690,682,51,1316,Automation,Kokomo East,2026-03-03,2026-08-19,approved,2026-05-10,
EP-26007,Batch System Validation,"Validate batching control system per ISA-88, including FAT/SAT documentation and recipe management updates.",PO-43593,Subaru Indiana,M. Chen,Fixed,583300,151658,1090,74,96,Automation,Princeton Facility,2026-04-19,2026-10-12,approved,2026-04-10,
EP-26008,Safety System Upgrade Press Shop,"Upgrade press shop safety circuits to Cat 3 with light curtains, safety PLC, and updated lockout procedures.",PO-49064,Subaru Indiana,T. Nguyen,Fixed,650000,338000,1542,48,1396,Service,Greenfield Site,2026-05-15,2026-11-09,approved,2026-06-10,
EP-26009,MES Integration Phase 1,Integrate shop-floor PLCs with MES for downtime tracking and OEE reporting across three production lines.,PO-41743,Toyota Boshoku,T. Nguyen,T&E,485000,485000,1244,0,626,Automation,Columbus South,2026-03-17,2026-08-17,approved,2026-05-10,
EP-26010,Compressor Room Controls,,PO-49295,Subaru Indiana,S. Reyes,Fixed,540000,291600,161,46,70,Service,Columbus South,2026-03-08,2026-07-08,approved,2026-06-10,
EP-26011,Annual Service Contract - Plant 3,"Preventive maintenance and on-call controls support contract covering drives, PLCs, and HMIs.",PO-43295,Subaru Indiana,J. Kowalski,T&E,295450,135907,23,54,1529,Service,Kokomo East,2026-02-18,2026-12-23,approved,2026-05-10,
EP-26012,Panel Shop Build - 12 Enclosures,Fabricate and wire twelve UL508A control enclosures for OEM customer per provided schematics.,PO-41163,Stellantis Kokomo,R. Patel,Fixed,386000,115800,1672,70,276,Automation,Plant 3 - Lafayette,2026-02-19,2026-08-01,approved,2026-04-10,
EP-26013,Wastewater pH Control Upgrade,,PO-47749,Nucor Steel,R. Patel,Fixed,537000,451080,2011,16,1765,FBI,Princeton Facility,2026-05-19,2026-10-08,approved,2026-05-10,
EP-26014,AGV Route Expansion,,PO-41790,ADM Processing,D. Okafor,T&E,874800,769824,650,12,1837,Service,Plant 3 - Lafayette,2026-01-13,2026-12-11,approved,2026-04-10,
EP-26015,Furnace Temperature Control Retrofit,"Retrofit heat-treat furnace with new thermocouples, PID controllers, and data logging for quality compliance.",PO-40241,ADM Processing,J. Kowalski,T&E,131040,115315,1486,12,681,FBI,Kokomo East,2026-01-21,2026-11-27,approved,2026-05-10,
EP-26016,Legacy PLC Modernization - Assembly,"Replace aging PLC-5 controllers with modern ControlLogix hardware on assembly operations, converting I/O and revising operator screens.",PO-46930,Stellantis Kokomo,D. Okafor,Fixed,232960,118809,8,49,142,FBI,Plant 3 - Lafayette,2026-03-26,2026-10-10,approved,2026-06-10,
EP-26017,Plant SCADA Modernization,Move existing Wonderware supervisory system to current AVEVA platform; includes server redundancy and historian connection.,PO-47811,Stellantis Kokomo,J. Kowalski,Fixed,94050,87466,245,7,644,FBI,Kokomo East,2026-03-02,2026-07-19,approved,2026-04-10,
EP-26018,Weld Automation Cell - Body Shop,,PO-40651,Eli Lilly,J. Kowalski,Fixed,731000,621350,507,15,1195,Service,Plant 3 - Lafayette,2026-05-08,2026-11-20,approved,2026-06-10,
EP-26019,Line 4 Conveyance Modernization,Upgrade Line 4 conveyor drives to VFDs with new sensors and zone-based speed control programming.,PO-47491,Nucor Steel,M. Chen,Fixed,361000,180500,1139,50,19,Service,Princeton Facility,2026-02-22,2026-12-10,approved,2026-05-10,
EP-26020,Downtime Tracking System Rollout,Connect production line PLCs to manufacturing execution software for OEE and downtime data collection.,PO-48900,Eli Lilly,R. Patel,Fixed,183750,126787,68,31,334,Service,Columbus South,2026-03-10,2026-08-15,approved,2026-06-10,
